,Name,,,,,,,,
0,Rajiv Gandhi University,,,,,,,,
1,Assam University,,,,,,,,
2,Tezpur University,,,,,,,,
3,University of Hyderabad,,,,,,,,
4,Maulana Azad National Urdu University,,,,,,,,
5,English & Foreign Languages University,,,,,,,,
6,Jamia Millia Islamia,,,,,,,,
7,University of Delhi,,,,,,,,
8,Jawaharlal Nehru University,,,,,,,,
9,Indira Gandhi National Open University,,,,,,,,
10,The Indira Gandhi National Tribal University,,,,,,,,
11,Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya,,,,,,,,
12,Mizoram University,,,,,,,,
13,North Eastern Hill University,,,,,,,,
14,Manipur University,,,,,,,,
15,Central Agricultural University,,,,,,,,
16,Pondicherry University,,,,,,,,
17,Sikkim University,,,,,,,,
18,Tripura University,,,,,,,,
19,Aligarh Muslim University,,,,,,,,
20,Babasaheb Bhimrao Ambedkar University,,,,,,,,
21,Banaras Hindu University,,,,,,,,
22,University of Allahabad,,,,,,,,
23,Visva Bharati,,,,,,,,
24,Hemwati Nandan Bahuguna Garhwal University,,,,,,,,
25,Central university of Tamil Nadu,,,,,,,,
26,Indian Maritime University,,,,,,,,
27,Central University of Rajasthan ,,,,,,,,
28,Central University of Punjab,,,,,,,,
29,Central University of Orissa,,,,,,,,
30,Dr. Harisingh Gour Vishwavidyalaya,,,,,,,,
31,Central University of Kerala,,,,,,,,
32,Central University of Karnataka,,,,,,,,
33,Central University of Jharkhand,,,,,,,,
34,Central University of Kashmir,,,,,,,,
35,Central University of Jammu,,,,,,,,
36,Central University of Himachal Pradesh,,,,,,,,
37,Central University of Haryana,,,,,,,,
38,Guru Ghasidas Vishwavidyalaya,,,,,,,,
39,Central University of South Bihar,,,,,,,,
40,Central University of Gujarat,,,,,,,,
41,Gandhi Institute of Technology and Management (GITAM),,,,,,,,
42,International  Institute of Information Technology,,,,,,,,
43,Koneru Lakshmaiah Education Foundation ,,,,,,,,
44,Rashtriya Sanskrit Vidyapeeth,,,,,,,,
45,Sri Sathya Sai Institute of Higher Learning ,,,,,,,,
46,ICFAI Foundation for Higher Education ,,,,,,,,
47,Vignan's Foundation for Science   Technology and Research,,,,,,,,
48,North Eastern Regional Institute of Science & Technology,,,,,,,,
49,Nava Nalanda Mahavihara,,,,,,,,
50,Punjab Engineering College,,,,,,,,
51,Indian Agricultural Research Institute,,,,,,,,
52,Indain Institute of Foreigen Trade,,,,,,,,
53,Indian Law Institute ,,,,,,,,
54,Institute of liver and Biliary Sciences,,,,,,,,
55,Jamia Hamdard,,,,,,,,
56,National Museum Institute of History of Arts  Conservation and Musicology,,,,,,,,
57,National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),,,,,,,,
58,National University of Educational Planning & Administration,,,,,,,,
59,Rashtriya Sanskrit Sansthana ,,,,,,,,
60,Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,,,,,,,,
61,TERI School of Advanced studies,,,,,,,,
62,Gujarat Vidyapith ,,,,,,,,
63,Sumandeep Vidyapeeth ,,,,,,,,
64,Maharishi Markandeshwar (Deemed to be University),,,,,,,,
65,Lingaya's Vidyapeeth,,,,,,,,
66,National Brain Research Centre ,,,,,,,,
67,National Dairy Research Institute,,,,,,,,
68,Manav Rachna International Institute of Research and Studies,,,,,,,,
69,Birla Institute of Technology,,,,,,,,
70,B.L.D.E. ,,,,,,,,
71,Christ ,,,,,,,,
72,Indian Institute of Science ,,,,,,,,
73,International Institute of Information Technology,,,,,,,,
74,Jain ,,,,,,,,
75,JSS Academy of Higher Education & Research,,,,,,,,
76,Jawahar lal Nehru Centre for Advanced Scientific Research,,,,,,,,
77,K.L.E. Academy of Higher Education and Research,,,,,,,,
78,Manipal Academy of Higher Education,,,,,,,,
79,National Institute of Mental Health & Neuro Sciences ,,,,,,,,
80,NITTE ,,,,,,,,
81,Sri Devraj Urs Academy of Higher Education and Research ,,,,,,,,
82,Sri Siddhartha Academy of Higher Education ,,,,,,,,
83,Swami Vivekananda Yoga Anusandhana Samsthana,,,,,,,,
84,Yenepoya ,,,,,,,,
85,Kerala Kalamandalam ,,,,,,,,
86,Indian Institute of Space Science and Technology,,,,,,,,
87,Indian Institute of Information Technology and Management,,,,,,,,
